Session 01 (Arthur MM) | Player: Serane | Action: gate_check | Total: 7 -> partial_success
Session 11 (Arthur MM) | Player: Ilesse | Action: stealth_networking | Total: 10 -> full_success
Session 12 (Arthur MM) | Player: Serane | Action: scout_confrontation | Total: 4 -> failure
Session 12 (Arthur MM) | Player: Pello | Action: scout_confrontation | Total: 4 -> failure
Session 12 (Arthur MM) | Player: Dassa | Action: scout_confrontation | Total: 4 -> failure
Session 12 (Arthur MM) | Player: Ilesse | Action: scout_confrontation | Total: 4 -> failure
Session 13 (Arthur MM) | Player: Serane | Action: looter_detection | Total: 4 -> failure
Session 13 (Arthur MM) | Player: Pello | Action: looter_detection | Total: 4 -> failure
Session 13 (Arthur MM) | Player: Dassa | Action: looter_detection | Total: 4 -> failure
Session 13 (Arthur MM) | Player: Ilesse | Action: looter_detection | Total: 4 -> failure
Session 14 (Arthur MM) | Player: Pello | Action: strike_mook | Total: 7 -> partial_success
Session 14 (Arthur MM) | Player: Dassa | Action: strike_mook | Total: 7 -> partial_success
Session 15 (Arthur MM) | Player: Pello | Action: strike_tavva | Total: 8 -> partial_success
Session 15 (Arthur MM) | Player: Dassa | Action: strike_tavva | Total: 8 -> partial_success
Session 15 (Arthur MM) | Player: Pello | Action: react_tavva | Total: 6 -> failure
Session 15 (Arthur MM) | Player: Dassa | Action: react_tavva | Total: 6 -> failure
Session 16 (Cyrus MM) | Player: Serane | Action: stealth_networking | Total: 8 -> partial_success
Session 16 (Cyrus MM) | Player: Pello | Action: stealth_networking | Total: 8 -> partial_success
Session 16 (Cyrus MM) | Player: Dassa | Action: stealth_networking | Total: 8 -> partial_success
Session 16 (Cyrus MM) | Player: Ilesse | Action: stealth_networking | Total: 8 -> partial_success
Session 17 (Cyrus MM) | Player: Serane | Action: scout_confrontation | Total: 9 -> partial_success
Session 17 (Cyrus MM) | Player: Pello | Action: scout_confrontation | Total: 9 -> partial_success
Session 17 (Cyrus MM) | Player: Dassa | Action: scout_confrontation | Total: 9 -> partial_success
Session 17 (Cyrus MM) | Player: Ilesse | Action: scout_confrontation | Total: 9 -> partial_success
Session 18 (Cyrus MM) | Player: Serane | Action: looter_detection | Total: 9 -> partial_success
Session 18 (Cyrus MM) | Player: Pello | Action: looter_detection | Total: 9 -> partial_success
Session 18 (Cyrus MM) | Player: Dassa | Action: looter_detection | Total: 9 -> partial_success
Session 18 (Cyrus MM) | Player: Ilesse | Action: looter_detection | Total: 9 -> partial_success
Session 19 (Cyrus MM) | Player: Pello | Action: strike_mook | Total: 8 -> partial_success
Session 19 (Cyrus MM) | Player: Dassa | Action: strike_mook | Total: 8 -> partial_success
Session 20 (Cyrus MM) | Player: Pello | Action: strike_tavva | Total: 10 -> full_success
Session 20 (Cyrus MM) | Player: Dassa | Action: strike_tavva | Total: 10 -> full_success
Session 20 (Cyrus MM) | Player: Pello | Action: react_tavva | Total: 12 -> full_success
Session 20 (Cyrus MM) | Player: Dassa | Action: react_tavva | Total: 12 -> full_success
